127.0.0.1 - - [22/Feb/2024:16:39:41 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:39:43 +0000] "GET /Zumba_App/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:39:44 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:40:07 +0000] "POST /Zumba_App/Check.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:40:34 +0000] "GET /Zumba_App/updateParticipant.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:40:38 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:40:42 +0000] "GET /Zumba_App/BatchController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:40:42 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:41:15 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:41:18 +0000] "GET /Zumba_App/updateParticipant.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:41:39 +0000] "POST /Zumba_App/ParticipantsController HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:41:44 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:42:31 +0000] "GET /Zumba_App/updateParticipant.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:42:44 +0000] "POST /Zumba_App/ParticipantsController HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:42:48 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:56:31 +0000] "GET /Zumba_App/updateParticipant.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:57:22 +0000] "POST /Zumba_App/ParticipantsController HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:59:10 +0000] "GET /Zumba_App/home.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:59:12 +0000] "GET /Zumba_App/BatchController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2024:16:59:12 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [22/Feb/2024:17:06:03 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [22/Feb/2024:17:06:04 +0000] "GET /Zumba_App/BatchAndParticipantsInfo.jsp HTTP/1.1" 200 822
